Tabla Temporal,FT_REPORTOS,,,,,,,,,,,
Tabla Sistema,"ST_REPORTOS_MN, ST_REPORTOS_ME",,,,,,,,,,,
Nombre Archivo,FT_REPORTOS.txt,,,,,,,,,,,
Separador de datos,"PIPE ""|""",,,,,,,,,,,
Nombre DTS,FT_REPORTOS.dtsx,,,,,,,,,,,
Descripcion,"LAYOUT DE DATOS REPORTOS_MN, REPORTOS_ME",,,,,,,,,,,
Uso,REPORTOS MN y ME,,,,,,,,,,,
Periodicidad,Diaria,,,,,,,,,,,
,,,,,,,,,Banxico,,,
Orden,Nombre,Tipo,Uso,Descripcion,Validacion,Catalogo,ComentariosBW,,Descr MN,Catalogo MN,desc ME,Cat ME
16,OPERACIONBANCOTRABAJO,TEXTO (1),"REPORTOS-MN (17)
REPORTOS-ME (17)",Operación realizada como Banco de Trabajo.,"Longitud,Catalogo",OperacionRealizadaBanco,,,Clave de la “Casa de Corretaje” (Corro electronico) por medio de la cual se concerto la operacion de Reporto (clave conforme al “Catalogo de Corros Electronicos”).,Catalogo de Corros  Electronicos,Clave de la “Casa de Corretaje” (Corro electronico) por medio de la cual se concerto la operacion de Reporto (clave conforme al “Catalogo de Corros Electronicos”).,Catalogo de Tipos de  Postura
17,NUMEROIDENTIFICACIONOPERACION,TEXTO (37),"REPORTOS-MN (18)
REPORTOS-ME (18)",Número de identificación de la Operación.,Longitud,,,,Clave de la Postura de la institucion en la operacion concertada a traves de una “Casa de Corretaje” (clave conforme al “Catalogo de Tipos de Postura”).,Catalogo de Tipos de  Postura,Clave de la Postura de la institucion en la operacion concertada a traves de una “Casa de Corretaje” (clave conforme al “Catalogo de Tipos de Postura”).,Catalogo de Claves de  banco de trabajo
18,TIPOMODIFICACION,TEXTO (1),"REPORTOS-MN (19)
REPORTOS-ME (19)",Tipo de Modificación,"Longitud,Catalogo",TipoModificacion,,,Operacion realizada como banco de trabajo (clave conforme al “Catalogo de Claves de banco de trabajo”).,Catalogo de Claves de  banco de trabajo,Operacion realizada como banco de trabajo (clave conforme al “Catalogo de Claves de banco de trabajo”).,0
19,CLASIFICACIONCONTABLEOPERACION,TEXTO (2),RCs,Clasificacion contable asignada a la compra-venta,"Catalogo,Longitud",ClasificacionContableCVT,,,Porcentaje de descuento aplicado al valor de mercado del valor objeto del reporto (un entero y dos decimales),0,Porcentaje de descuento aplicado al valor de mercado del valor objeto del reporto (un entero y dos decimales),0
20,FECHAVENCIMIENTO_TITULO,FECHA (AAAAMMDD),RCs,Fecha Vencimiento del titulo,Fecha,,,,Clave que identifica si la operacion presentara una sustitucion de valores (S = Si contempla sustitucion de valores o N = No contempla sustitucion de valores).,0,Clave que identifica si la operacion presentara una sustitucion de valores (S = Si contempla sustitucion de valores o N = No contempla sustitucion de valores).,0
21,OFICINA,TEXTO (1),RCs,Indicador de Republica o Agencia,"Longitud, Catalogo",CveOficina,,,"Clave que identifica la modalidad de la operacion (OR = Si se trata de un Open Repo, ER = Si se trata de un Evergreen Repo y SM = Si se trata de un reporto sin modalidad especial).",0,"Clave que identifica la modalidad de la operacion (OR = Si se trata de un Open Repo, ER = Si se trata de un Evergreen Repo y SM = Si se trata de un reporto sin modalidad especial).",0
22,EMISION,TEXTO (50),RCs,Clave de emisión,Longitud ,,,,"Plazo minimo de terminacion de la operacion, que garantiza que el reporto permanezca vigente durante el plazo previamente acordado.",0,"Plazo minimo de terminacion de la operacion, que garantiza que el reporto permanezca vigente durante el plazo previamente acordado.",0
23,SERIE,TEXTO (50),RCs,Clave de serie ,Longitud ,,,,Clave que identifica si la operacion comprende un conjunto de valores objeto del reporto (canasta) (S = Si se trata de un reporto con un conjunto de valores objeto de la operacion o N = No se trata de un reporto con un conjunto de valores objeto de la operacion).,0,Clave que identifica si la operacion comprende un conjunto de valores objeto del reporto (canasta) (S = Si se trata de un reporto con un conjunto de valores objeto de la operacion o N = No se trata de un reporto con un conjunto de valores objeto de la operacion).,0
24,TIPOVALOR,TEXTO (50),RCs,Clave de tipo valor,Longitud ,,,,"Clave que identifica si en la operacion la institucion contrato servicios relacionados con la custodia y administracion de los valores, como los señalados en el numeral 2.8 de las Reglas de Reportos (S = Si  se contrataron los servicios o N = No se contrataron los servicios).",0,"Clave que identifica si en la operacion la institucion contrato servicios relacionados con la custodia y administracion de los valores, como los señalados en el numeral 2.8 de las Reglas de Reportos (S = Si  se contrataron los servicios o N = No se contrataron los servicios).",Catalogo de  Contrapartes
25,SOBRETASA,TEXTO (1),RCs,"Indicador de sobretasa ( 0, 1)",Longitud ,CveSobretasa,,,"Clave de la entidad contratada por la institucion  para llevar a cabo los servicios relacionados con la custodia y administracion de los valores, como los señalados en el numeral 2.8 de las reglas de Reportos (clave conforme al “Catalogo de Contrapartes”).",Catalogo de  Contrapartes,"Clave de la entidad contratada por la institucion  para llevar a cabo los servicios relacionados con la custodia y administracion de los valores, como los señalados en el numeral 2.8 de las reglas de Reportos (clave conforme al “Catalogo de Contrapartes”).",Catalogo de Tasas de Referencia
26,EMISOR,TEXTO (6),RCs,Emisora del titulo,Longitud ,CASFIM,,,Clave de la tasa de referencia a la cual esta referenciada la determinacion de la tasa premio de la operacion (conforme al “Catalogo de Tasas de Referencia”).,Catalogo de Tasas de Referencia,Clave de la tasa de referencia a la cual esta referenciada la determinacion de la tasa premio de la operacion (conforme al “Catalogo de Tasas de Referencia”).,0
27,DIASXVENCER_CUPON,NUMERICO(12),RCs,Dias por vencer del cupon,Entero,,,,Puntos base que se agregan a la tasa de referencia para determinar la tasa premio de la operacion.,0,Puntos base que se agregan a la tasa de referencia para determinar la tasa premio de la operacion.,0
28,APLICA_ANEXO1C,TEXTO (1),RCs,CLAVE INDICADOR OPERACION APLICA A ANEXO1C,Longitud ,CveAplicaAnexo1C,,,"Diferencia, expresada en dias naturales, entre las  fechas de pago de premio.",0,"Diferencia, expresada en dias naturales, entre las  fechas de pago de premio.",0
29,Custodio,NUMERICO (6),Tenencia,"Clave de la Institución que está custodiando los títulos, conforme al Catálogo del Sistema Financiero Mexicano (CASFIM)","Longitud, Catalogo",CASFIM,,,Numero de Identificacion de la operacion de Reporto.,0,Numero de Identificacion de la operacion de Reporto.,0
30,FechaValor,NUMERICO (1),Tenencia,Indicador si la operación fue fecha valor,"Longitud, Catalogo",Fecha Valor,,,Numero de Identificacion de la operacion de Reporto.,0,Numero de Identificacion de la operacion de Reporto.,0
31,Cliente,NUMERICO (6),Tenencia,Clave del cliente al cual la institución le lleva a cabo la custodia de los títulos,,CASFIM,,,Numero de Identificacion de la operacion de Reporto.,0,Numero de Identificacion de la operacion de Reporto.,0
32,Restriccion,TEXTO (2),Tenencia,Restricción contable asignada al título de acuerdo con la operación a la que corresponde el registro,"Longitud, Catalogo",Restriccion,,,,,,
